region,YEAR.x,STATE_CODE.x,DD,T_YEAR,YEAR.y,STATE_CODE.y,race,MEM_,OSS_,pct_
montana,2022,MT,1,1991,1984,MT,HP,0,0,
montana,2022,MT,1,1991,1984,MT,MR,0,0,
montana,2022,MT,1,1991,1984,MT,WH,76265,1430,1.87504100799561
montana,2022,MT,1,1991,1984,MT,total,84080,1845,2.19433879852295
montana,2022,MT,1,1991,1986,MT,AI,7595,310,4.08163261413574
montana,2022,MT,1,1991,1986,MT,AS,635,10,1.57480311393738
montana,2022,MT,1,1991,1986,MT,BL,385,10,2.59740257263184
montana,2022,MT,1,1991,1986,MT,HI,1100,90,8.18181800842285
montana,2022,MT,1,1991,1986,MT,HP,0,0,
montana,2022,MT,1,1991,1986,MT,MR,0,0,
montana,2022,MT,1,1991,1986,MT,WH,81880,2345,2.86394715309143
montana,2022,MT,1,1991,1986,MT,total,91590,2765,3.01888847351074
montana,2022,MT,1,1991,1988,MT,AI,8410,265,3.15101075172424
